,1. open,2. high,3. low,4. close,5. volume
2023-09-22 11:25:00,431.706,432.15,431.64,432.115,838042.0
2023-09-22 11:30:00,432.121,432.18,431.909,432.015,620030.0
2023-09-22 11:35:00,432.021,432.349,431.998,432.334,668422.0
2023-09-22 11:40:00,432.325,432.33,431.769,431.836,699861.0
2023-09-22 11:45:00,431.827,431.961,431.65,431.677,401275.0
2023-09-22 11:50:00,431.687,431.861,431.391,431.463,459943.0
2023-09-22 11:55:00,431.458,431.592,431.132,431.159,637959.0
2023-09-22 12:00:00,431.17,431.294,431.012,431.109,546378.0
2023-09-22 12:05:00,431.11,431.274,430.898,431.114,934948.0
2023-09-22 12:10:00,431.11,431.284,430.963,431.219,361589.0
2023-09-22 12:15:00,431.211,431.682,431.112,431.612,584869.0
2023-09-22 12:20:00,431.613,431.752,431.476,431.617,461856.0
2023-09-22 12:25:00,431.615,431.62,431.356,431.488,561008.0
2023-09-22 12:30:00,431.508,431.752,431.371,431.607,531303.0
2023-09-22 12:35:00,431.608,431.911,431.555,431.876,420549.0
2023-09-22 12:40:00,431.887,432.011,431.819,431.906,424711.0
2023-09-22 12:45:00,431.911,431.976,431.729,431.816,584801.0
2023-09-22 12:50:00,431.817,431.861,431.68,431.747,353358.0
2023-09-22 12:55:00,431.757,431.961,431.62,431.647,314971.0
2023-09-22 13:00:00,431.656,431.712,431.5,431.627,362482.0
2023-09-22 13:05:00,431.628,431.707,431.331,431.358,411322.0
2023-09-22 13:10:00,431.359,431.533,431.182,431.254,784373.0
2023-09-22 13:15:00,431.249,431.274,430.903,430.99,524230.0
2023-09-22 13:20:00,430.97,431.0,430.216,430.467,811653.0
2023-09-22 13:25:00,430.462,430.537,430.206,430.392,903102.0
2023-09-22 13:30:00,430.393,430.407,430.007,430.193,839884.0
2023-09-22 13:35:00,430.203,430.447,429.588,429.824,1892714.0
2023-09-22 13:40:00,429.835,429.884,429.479,429.621,950842.0
2023-09-22 13:45:00,429.616,429.829,429.459,429.655,684380.0
2023-09-22 13:50:00,429.666,430.128,429.588,429.954,1256487.0
2023-09-22 13:55:00,429.959,430.203,429.867,429.874,523661.0
2023-09-22 14:00:00,429.865,430.068,429.658,429.815,536295.0
2023-09-22 14:05:00,429.825,429.978,429.648,429.78,804309.0
2023-09-22 14:10:00,429.785,429.79,429.13,429.177,1196662.0
2023-09-22 14:15:00,429.173,429.317,428.801,428.938,1069997.0
2023-09-22 14:20:00,428.949,429.461,428.941,429.386,790757.0
2023-09-22 14:25:00,429.387,429.71,429.23,429.257,726083.0
2023-09-22 14:30:00,429.247,429.501,429.016,429.401,772492.0
2023-09-22 14:35:00,429.397,429.54,429.05,429.12,1305590.0
2023-09-22 14:40:00,429.128,429.242,428.861,428.896,738971.0
2023-09-22 14:45:00,428.899,429.302,428.806,429.297,600744.0
2023-09-22 14:50:00,429.292,429.416,429.12,429.267,801961.0
2023-09-22 14:55:00,429.267,429.481,429.125,429.326,822677.0
2023-09-22 15:00:00,429.307,430.238,429.2,429.914,1076561.0
2023-09-22 15:05:00,429.915,430.935,429.817,430.92,1095460.0
2023-09-22 15:10:00,430.925,431.04,430.714,430.89,917145.0
2023-09-22 15:15:00,430.891,431.124,430.694,430.99,905177.0
2023-09-22 15:20:00,430.99,431.463,430.695,431.174,1018890.0
2023-09-22 15:25:00,431.165,431.244,430.813,430.84,971762.0
2023-09-22 15:30:00,430.851,431.045,430.256,430.272,1405199.0
2023-09-22 15:35:00,430.273,430.382,430.096,430.223,919239.0
2023-09-22 15:40:00,430.228,430.278,429.2,429.237,2118891.0
2023-09-22 15:45:00,429.237,429.561,428.672,428.908,3937132.0
2023-09-22 15:50:00,428.899,428.973,428.244,428.497,4655007.0
2023-09-22 15:55:00,428.49,429.063,428.463,428.639,7675676.0
2023-09-25 09:30:00,427.435,427.683,426.979,427.125,1836853.0
2023-09-25 09:35:00,427.126,427.628,427.019,427.613,776666.0
2023-09-25 09:40:00,427.614,428.156,427.596,428.012,989706.0
2023-09-25 09:45:00,428.022,428.365,427.781,428.121,1078766.0
2023-09-25 09:50:00,428.132,428.555,428.045,428.469,881984.0
2023-09-25 09:55:00,428.47,429.023,428.423,428.818,847018.0
2023-09-25 10:00:00,428.829,428.973,428.204,428.32,1133624.0
2023-09-25 10:05:00,428.331,428.604,427.935,428.14,1076950.0
2023-09-25 10:10:00,428.122,428.724,428.054,428.56,739289.0
2023-09-25 10:15:00,428.55,428.903,428.124,428.161,741296.0
2023-09-25 10:20:00,428.162,428.385,427.815,428.021,949370.0
2023-09-25 10:25:00,428.012,428.032,427.487,427.793,935817.0
2023-09-25 10:30:00,427.783,428.445,427.616,428.241,905063.0
2023-09-25 10:35:00,428.251,428.405,428.025,428.301,773617.0
2023-09-25 10:40:00,428.281,428.326,427.975,428.111,527736.0
2023-09-25 10:45:00,428.102,428.475,428.084,428.286,564398.0
2023-09-25 10:50:00,428.291,428.307,427.716,427.753,648227.0
2023-09-25 10:55:00,427.743,427.808,427.467,427.479,599710.0
2023-09-25 11:00:00,427.476,427.698,427.397,427.653,616157.0
2023-09-25 11:05:00,427.649,428.674,427.626,428.579,752898.0
2023-09-25 11:10:00,428.59,428.814,428.443,428.669,747769.0
2023-09-25 11:15:00,428.68,429.73,428.667,429.675,1496178.0
2023-09-25 11:20:00,429.686,429.74,429.389,429.645,891760.0
2023-09-25 11:25:00,429.636,429.69,429.18,429.237,1238855.0
2023-09-25 11:30:00,429.247,429.471,429.13,429.326,658487.0
2023-09-25 11:35:00,429.362,429.486,429.17,429.227,439343.0
2023-09-25 11:40:00,429.227,429.949,428.645,429.804,2119795.0
